company,sector,cpc_code,n_total,quality_avg,quality_norm_avg,n_years,name_clean
"Synopsys, Inc.",Technology,6,1562,0.6091185,0.4364737,19,synopsys
"Allergan, Inc.",Life Sciences,0,1549,0.3979903,-0.06194737,19,allergan
"ADC Telecommunications, Inc.",Technology,7,1532,0.6928249,0.8658824,17,adc telecommunications
EMC IP Holding Company LLC,Technology,6,1528,0.6882572,0.75333333,3,emc ip holding
Palo Alto Research Center Incorporated,Technology,6,1520,0.6241234,0.49156252,16,palo alto research center incorporated
Airbus Operations SAS,Industrial,1,1519,0.29248652,-0.6117778,9,airbus operations
NESTEC S.A.,Life Sciences,0,1517,0.27461258,-0.62994736,19,nestec s a
NSK LTD.,Industrial,5,1511,0.28288049,-0.53673685,19,nsk
The Johns Hopkins University,Life Sciences,0,1504,0.4113572,0.015947368,19,johns hopkins university
"Scimed Life Systems, Inc.",Life Sciences,0,1500,0.6500279,1.3076428,14,scimed life
Arm Limited,Technology,6,1499,0.5199361,-0.040157896,19,arm
"Disney Enterprises, Inc.",Technology,6,1498,0.5808922,0.2771579,19,disney enterprises
Motorola Mobility LLC,Technology,7,1485,0.59061825,0.27466667,9,motorola mobility
Bayerische Motoren Werke Aktiengesellschaft,Industrial,1,1481,0.26873317,-0.62815785,19,bayerische motoren werke aktiengesellschaft
EXXONMOBIL RESEARCH AND ENGINEERING COMPANY,Life Sciences,2,1476,0.34478933,-0.31573686,19,exxonmobil research engineering
"FURUKAWA ELECTRIC CO., LTD.",Technology,7,1460,0.32811543,-1.0321053,19,furukawa electric
Sandia Corporation,Technology,6,1456,0.43637383,-0.4686111,18,sandia
Hyundai Electronics Industries Co. Ltd.,Technology,7,1452,0.3980067,-0.6728889,9,hyundai electronics industries
